,batter,rating,deliveries
169,DNT Zoysa,988.1999999999999,18
170,DP Conway,1041.500000000007,1338
171,DP Nannes,979.8999999999999,26
172,DP Vijaykumar,1001.8,2
173,DPMD Jayawardene,953.2000000000002,3044
174,DR Martyn,978.3999999999995,52
175,DR Sams,926.3000000000002,96
176,DR Shorey,961.3000000000001,40
177,DR Smith,1023.3000000000013,3606
178,DS Kulkarni,1008.2999999999981,226
179,DS Lehmann,973.9000000000001,38
180,DT Christian,906.9999999999983,816
181,DT Patil,990.1000000000003,26
182,DW Steyn,982.3999999999995,326
183,Dhruv Jurel,1025.699999999999,474
184,E Lewis,985.699999999998,998
185,EJG Morgan,968.9999999999973,2362
186,ER Dwivedi,1012.1999999999998,30
187,F Behardien,976.0999999999999,26
188,F du Plessis,1037.8000000000022,6870
189,FA Allen,976.6000000000005,38
190,FH Edwards,992.3000000000001,10
191,FY Fazal,949.4000000000004,358
192,Fazalhaq Farooqi,1001.1999999999994,26
193,G Coetzee,975.0000000000001,44
194,G Gambhir,933.0999999999892,7048
195,GB Hogg,998.2999999999998,44
196,GC Smith,909.1000000000017,1382
197,GC Viljoen,982.4999999999999,14
198,GD McGrath,1002.1999999999998,10
199,GD Phillips,960.2999999999993,110
200,GH Vihari,868.599999999995,662
201,GHS Garton,991.2,8
202,GJ Bailey,969.4000000000012,1104
203,GJ Maxwell,1030.3999999999971,3684
204,GR Napier,989.8,32
205,Gulbadin Naib,1002.2000000000002,30
206,Gurkeerat Singh,957.7000000000007,872
207,H Das,989.7,10
208,H Klaasen,1081.700000000003,1226
209,HC Brook,951.9999999999992,318
210,HE van der Dussen,968.4,50
211,HF Gurney,999.7999999999997,10
212,HH Gibbs,941.4000000000028,1674
213,HH Pandya,1007.4000000000003,3628
214,HM Amla,1057.8000000000031,836
215,HR Shokeen,995.5000000000009,134
216,HV Patel,949.999999999998,428
217,Harbhajan Singh,996.6999999999985,1272
218,Harmeet Singh,1000.6999999999998,24
219,Harpreet Brar,1009.7999999999998,402
220,Harpreet Singh,991.5999999999998,238
221,Harshit Rana,976.2999999999998,6
222,I Malhotra,1000.5,8
223,I Sharma,981.1999999999988,142
224,I Udana,990.6,22
225,IC Pandey,985.5,4
226,IK Pathan,935.1999999999967,1970
227,IR Jaggi,927.9999999999998,200
228,IS Sodhi,965.5999999999995,36
229,Imran Tahir,987.6000000000005,74
230,Iqbal Abdulla,1030.2000000000003,172
231,Ishan Kishan,1007.7999999999985,3982
232,J Arunkumar,972.9000000000001,48
233,J Botha,938.1999999999997,728
234,J Fraser-McGurk,1103.5000000000002,300
235,J Suchith,1000.1000000000001,124
236,J Syed Mohammad,995.8000000000002,54
237,J Theron,985.8999999999999,26
238,J Yadav,1001.3000000000004,76
239,JA Morkel,1003.0000000000058,1424
240,JA Richardson,970.2999999999994,54
241,JC Archer,1020.5000000000019,264
242,JC Buttler,1018.800000000016,5038
243,JD Ryder,962.5999999999965,932
244,JD Unadkat,1016.0999999999999,340
245,JDP Oram,926.6,220
246,JDS Neesham,962.3999999999999,186
247,JE Root,977.3000000000001,30
248,JE Taylor,998.0000000000001,8
249,JEC Franklin,936.7999999999957,618
250,JH Kallis,928.8999999999978,4582
251,JJ Bumrah,998.699999999999,160
252,JJ Roy,1026.0,920
253,JJ van der Wath,978.1000000000003,34
254,JL Denly,987.5,2
255,JL Pattinson,999.9,26
256,JM Bairstow,1028.1000000000033,2264
257,JM Kemp,987.1999999999998,50
258,JM Sharma,1000.9999999999999,1002
259,JO Holder,969.1000000000008,434
260,JP Behrendorff,1006.0999999999999,18
261,JP Duminy,978.9999999999981,3360
262,JP Faulkner,984.6,812
263,JPR Scantlebury-Searles,998.2,12
264,JR Hazlewood,1023.6999999999991,58
265,JR Hopes,990.0999999999973,628
266,JR Philippe,966.4999999999993,160
267,Jaskaran Singh,982.7999999999997,22
268,Joginder Sharma,982.6,60
269,K Goel,878.9999999999998,478
270,K Gowtham,998.2000000000003,318
271,K Kartikeya,991.1999999999998,26
272,K Rabada,968.9999999999993,414
273,K Upadhyay,1021.7999999999997,18
274,K Yadav,997.5000000000001,8
275,KA Jamieson,1014.1000000000005,110
276,KA Maharaj,993.0,4
277,KA Pollard,968.3999999999927,4894
278,KAJ Roach,992.0999999999999,18
279,KB Arun Karthik,946.4000000000001,106
280,KC Cariappa,1016.5999999999997,42
281,KC Sangakkara,919.0999999999872,2848
282,KD Karthik,1066.9999999999927,7374
283,KH Pandya,943.2999999999988,2574
284,KJ Abbott,987.7,16
285,KK Ahmed,971.1999999999999,14
286,KK Cooper,1019.8999999999997,140
287,KK Nair,970.4999999999961,2384
288,KL Nagarkoti,950.6999999999998,68
289,KL Rahul,1010.6000000000162,7156
290,KM Asif,977.0999999999999,4
291,KM Jadhav,918.8999999999983,2024
292,KMA Paul,965.2999999999997,52
293,KMDN Kulasekara,1003.7,6
294,KP Appanna,999.7999999999998,8
295,KP Pietersen,1016.7000000000016,1516
296,KR Mayers,1002.9000000000001,552
297,KR Sen,998.5,6
298,KS Bharat,989.1999999999997,336
299,KS Sharma,947.0999999999999,50
300,KS Williamson,934.7999999999938,3468
301,KV Sharma,960.8999999999992,612
302,KW Richardson,987.0999999999995,78
303,Kamran Akmal,1023.0999999999999,156
304,Kamran Khan,993.1999999999997,10
305,Karanveer Singh,986.9999999999998,34
306,Kartik Tyagi,975.4999999999999,32
307,Kuldeep Yadav,1003.5999999999965,448
308,Kumar Kushagra,965.5,14
309,L Ablish,999.1999999999998,4
310,L Balaji,963.1999999999994,100
311,L Ronchi,955.7999999999997,74
312,L Wood,1010.3000000000001,6
313,LA Carseldine,974.5999999999996,142
314,LA Pomersbach,974.9999999999991,502
315,LB Williams,1001.2999999999998,4
316,LE Plunkett,990.9,6
317,LH Ferguson,1052.7999999999995,96
318,LJ Wright,1033.2999999999997,126
319,LMP Simmons,985.000000000007,1756
320,LPC Silva,989.6000000000003,54
321,LR Shukla,921.4999999999975,716
322,LRPL Taylor,925.6999999999989,1694
323,LS Livingstone,1032.7999999999995,1218
324,Lalit Yadav,956.0999999999995,602
325,Liton Das,983.9,8
326,M Ashwin,931.4000000000001,100
327,M Jansen,930.4000000000003,142
328,M Kaif,908.3000000000005,516
329,M Kartik,1022.1000000000007,218
330,M Klinger,962.7,156
331,M Manhas,929.700000000001,972
332,M Markande,1005.6999999999998,88
333,M Morkel,1011.2999999999996,186
334,M Muralitharan,961.0999999999995,60
335,M Ntini,1006.6999999999997,38
336,M Prasidh Krishna,973.9999999999998,48
337,M Rawat,933.2999999999995,140
338,M Shahrukh Khan,1033.600000000001,826
339,M Theekshana,974.9000000000001,14
340,M Vijay,961.599999999998,4416
341,M Vohra,952.7999999999954,1726
342,M de Lange,990.5,4
343,MA Agarwal,957.7000000000091,4162
344,MA Khote,974.0,44
345,MA Starc,960.1000000000003,218
346,MA Wood,987.8999999999997,20
347,MC Henriques,976.9999999999961,1602
348,MC Juneja,949.7000000000008,268
349,MD Mishra,939.8999999999997,426
350,MD Shanaka,983.4000000000004,52
351,MDKJ Perera,980.6999999999997,26
352,MEK Hussey,977.1999999999973,3296
353,MF Maharoof,993.1999999999994,248
354,MG Bracewell,992.0,98
355,MG Johnson,955.8999999999994,336
356,MJ Clarke,949.4000000000012,192
357,MJ Guptill,1021.1999999999985,394
358,MJ Lumb,1023.3999999999979,396
359,MJ McClenaghan,957.0999999999991,146
360,MJ Santner,938.1000000000007,154
361,MJ Suthar,993.8,4
362,MK Lomror,998.799999999999,778
363,MK Pandey,967.3999999999932,6576
364,MK Tiwary,972.1999999999989,2978
365,ML Hayden,958.1000000000063,1678
366,MM Ali,1009.9999999999964,1698
367,MM Patel,997.8999999999991,82
368,MM Sharma,914.0999999999988,274
369,MN Samuels,908.4,348
370,MN van Wyk,1003.199999999999,270
371,MP Stoinis,1032.7000000000037,2732
372,MR Marsh,996.3000000000018,1064
373,MS Bisla,940.3000000000009,1474
374,MS Dhoni,1035.2000000000112,7894
375,MS Gony,995.5000000000002,152
376,MS Wade,938.2000000000008,370
377,MV Boucher,962.3999999999982,636
378,MW Short,972.3999999999997,198
379,Mandeep Singh,937.599999999996,2836
380,Mashrafe Mortaza,996.3,4
381,Mayank Dagar,998.9,2
382,Misbah-ul-Haq,987.1000000000001,164
383,Mohammad Ashraful,967.1000000000001,24
384,Mohammad Asif,976.4,12
385,Mohammad Hafeez,899.0000000000002,168
386,Mohammad Nabi,994.8999999999993,314
387,Mohammed Shami,939.7999999999995,164
388,Mohammed Siraj,1029.4999999999973,244
389,Mohit Rathee,1001.3999999999999,4
390,Mohsin Khan,975.2999999999996,54
391,Mujeeb Ur Rahman,990.0999999999998,30
392,Mukesh Choudhary,1010.4999999999997,12
393,Mukesh Kumar,983.0999999999997,40
394,Mustafizur Rahman,1014.0999999999988,46
395,N Jagadeesan,940.5000000000005,310
396,N Pooran,1094.7000000000032,2286
397,N Rana,1026.3000000000043,4030
398,N Saini,924.5000000000006,286
399,N Wadhera,1021.9000000000032,522
400,NA Saini,970.3999999999999,72
401,ND Doshi,989.5999999999989,26
402,NJ Maddinson,964.7000000000002,42
403,NJ Rimmington,999.6,2
404,NL McCullum,988.7,46
405,NLTC Perera,992.100000000001,652
406,NM Coulter-Nile,966.9999999999987,150
407,NS Naik,929.7000000000007,106
408,NT Ellis,942.1000000000004,52
409,NV Ojha,927.9999999999968,2720
410,Naman Dhir,1023.3999999999997,168
411,Navdeep Saini,995.1,4
412,Naveen-ul-Haq,981.1,52
413,Niraj Patel,944.7000000000013,248
414,Nithish Kumar Reddy,1022.500000000001,442
415,Noor Ahmad,978.0000000000001,36
416,OA Shah,980.5000000000038,810
417,OC McCoy,1008.4,10
418,OF Smith,993.0999999999998,100
419,P Awana,979.6999999999996,28
420,P Chopra,994.7999999999998,12
421,P Dogra,908.8,282
422,P Dubey,989.8999999999995,66
423,P Kumar,963.9999999999986,646
424,P Negi,921.1999999999985,602
425,P Parameswaran,1000.4,6
426,P Ray Barman,990.7999999999995,50
427,P Sahu,1029.7000000000003,26
428,P Simran Singh,1030.9000000000028,1056
429,PA Patel,1004.8000000000015,4884
430,PA Reddy,920.1000000000006,334
431,PBB Rajapaksa,1021.4000000000013,402
432,PC Valthaty,917.5000000000001,864
433,PD Collingwood,1027.4000000000024,318
434,PD Salt,1075.300000000002,770
435,PJ Cummins,1088.8000000000002,718
436,PJ Sangwan,912.3999999999996,94
437,PK Garg,940.1999999999983,494
438,PM Sarvesh Kumar,1001.3999999999999,4
439,PN Mankad,999.5999999999998,150
440,PP Chawla,907.0999999999982,1160
441,PP Ojha,931.5,90
442,PP Shaw,1005.0000000000075,2642
443,PR Shah,934.5000000000011,194
444,PSP Handscomb,979.9000000000001,24
445,PV Tambe,1007.4999999999998,78
446,PVD Chameera,1005.7000000000003,64
447,PWH de Silva,934.3999999999997,160
448,Pankaj Singh,966.9999999999999,24
449,Parvez Rasool,984.8000000000005,40
450,Q de Kock,997.7999999999968,4820
451,R Ashwin,961.4000000000028,1396
452,R Bhatia,964.5000000000006,580
453,R Bishnoi,977.6999999999996,34
454,R Dhawan,1002.7999999999988,376
455,R Dravid,961.1999999999994,3836
456,R McLaren,946.3999999999995,356
457,R Ninan,988.7000000000004,12
458,R Parag,1028.5999999999963,1818
459,R Powell,995.1000000000007,508
460,R Rampaul,973.9999999999999,104
461,R Ravindra,1020.0000000000003,292
462,R Sai Kishore,999.9,12
463,R Sanjay Yadav,993.5000000000001,4
464,R Sathish,960.3999999999985,472
465,R Sharma,927.7000000000005,154
466,R Shepherd,1025.600000000001,136
467,R Shukla,988.2000000000006,46
468,R Tewatia,1011.2000000000033,1576
469,R Vinay Kumar,992.5999999999991,578
470,RA Bawa,983.4999999999998,28
471,RA Jadeja,1027.1999999999969,4756
472,RA Tripathi,1033.3,3300
473,RD Chahar,964.3999999999983,254
474,RD Gaikwad,1035.50000000001,3562
475,RE Levi,979.0999999999996,148
476,RE van der Merwe,965.3000000000004,288
477,RG More,1003.1999999999998,4
478,RG Sharma,1000.2999999999892,10366
479,RJ Gleeson,1003.3,4
480,RJ Harris,936.6999999999999,224
481,RJ Peterson,976.6999999999996,64
482,RJ Quiney,943.9000000000002,210
483,RJW Topley,1002.2999999999998,12
484,RK Bhui,936.1000000000007,54
485,RK Singh,1051.0000000000005,1308
486,RM Patidar,1089.2000000000057,1068
487,RN ten Doeschate,1020.1000000000026,476
488,RP Meredith,991.8,6
489,RP Singh,909.7999999999995,156
490,RR Bhatkal,990.7000000000002,4
491,RR Pant,1068.799999999995,4592
492,RR Powar,986.2999999999995,128
493,RR Raje,1001.0999999999998,36
494,RR Rossouw,1048.000000000002,642
495,RR Sarwan,967.4000000000003,156
496,RS Bopara,949.6999999999991,936
497,RS Gavaskar,979.4000000000002,16
498,RS Sodhi,1004.5,4
499,RT Ponting,879.6000000000004,258
500,RV Gomez,946.4999999999989,106
501,RV Patel,975.2999999999997,152
502,RV Uthappa,968.2000000000016,7854
503,Rahmanullah Gurbaz,987.7999999999988,456
504,Ramandeep Singh,1060.6000000000013,212
505,Rashid Khan,1054.300000000001,710
506,Rasikh Salam,982.0000000000001,80
507,Ravi Bishnoi,921.4000000000004,104
508,S Anirudha,967.899999999999,242
509,S Aravind,1021.8,118
510,S Badree,917.7999999999995,50
511,S Badrinath,944.599999999999,2490
512,S Chanderpaul,937.1999999999998,66
513,S Dhawan,1001.0999999999796,10966
514,S Dube,1029.5999999999983,2154
515,S Gopal,987.3,346
516,S Kaul,972.0999999999995,72
517,S Kaushik,994.6,2
518,S Ladda,957.2999999999998,20
519,S Lamichhane,996.5,2
520,S Nadeem,881.5999999999999,176
521,S Narwal,989.0000000000001,58
522,S Rana,970.5000000000002,164
523,S Randiv,991.5000000000001,8
524,S Sohal,984.0000000000016,622
525,S Sreesanth,972.1999999999994,114
526,S Sriram,969.3000000000003,76
527,S Tyagi,1004.7999999999997,8
528,S Vidyut,957.899999999999,230
529,SA Abbott,1002.5000000000001,36
530,SA Asnodkar,946.8,704
531,SA Yadav,1099.899999999991,5044
532,SB Bangar,931.1000000000005,116
533,SB Dubey,1014.0999999999997,42
534,SB Jakati,1013.5000000000003,60
535,SB Joshi,972.0999999999996,32
536,SB Styris,939.6999999999999,268
537,SB Wagh,983.4,6
538,SC Ganguly,925.6999999999989,2652
539,SD Chitnis,980.2999999999993,184
540,SD Hope,999.5999999999998,250
541,SD Lad,986.5999999999998,26
542,SE Bond,972.7,4
543,SE Marsh,991.6999999999965,3826
544,SE Rutherford,959.0999999999997,214
545,SH Johnson,1004.9,14
546,SJ Srivastava,999.8999999999999,10
547,SK Raina,974.1999999999825,8354
548,SK Trivedi,987.5999999999991,122
549,SK Warne,901.1999999999991,438
550,SL Malinga,971.9999999999992,206
551,SM Curran,994.9999999999992,1346
552,SM Harwood,986.7999999999995,28
553,SM Katich,965.5999999999997,382
554,SM Pollock,989.1000000000004,232
555,SMSM Senanayake,995.2999999999995,34
556,SN Khan,953.4999999999999,912
557,SN Thakur,1004.1999999999986,456
558,SO Hetmyer,1002.0999999999996,1708
559,SP Fleming,960.8000000000011,342
560,SP Goswami,893.8999999999972,614
561,SP Jackson,951.2999999999996,114
562,SP Narine,1045.1000000000029,1968
563,SPD Smith,972.5999999999945,3998
564,SR Tendulkar,956.000000000001,4088
565,SR Watson,990.9000000000108,5784
566,SS Cottrell,978.6999999999999,4
567,SS Iyer,1029.2999999999904,5090
568,SS Prabhudessai,981.6000000000005,226
569,SS Shaikh,1002.0,14
570,SS Tiwary,991.8999999999992,2582
571,ST Jayasuriya,943.3000000000048,1146
572,STR Binny,947.4000000000037,1400
573,SV Samson,1030.7999999999965,6540
574,SW Billings,989.9999999999995,798
575,SW Tait,977.8999999999995,52
576,SZ Mulani,1001.5,2
577,Sachin Baby,959.2999999999989,246
578,Salman Butt,984.4000000000011,344
579,Sameer Rizvi,984.8999999999999,86
580,Sandeep Sharma,1011.8999999999983,146
581,Sanvir Singh,988.3000000000006,44
582,Saurav Chauhan,982.5999999999999,32
583,Shahbaz Ahmed,974.4000000000005,934
584,Shahid Afridi,992.3000000000002,92
585,Shakib Al Hasan,948.6000000000017,1330
586,Shashank Singh,1063.4999999999982,544
587,Shivam Mavi,951.1000000000001,116
588,Shivam Sharma,1000.8,6
589,Shivam Singh,993.6,6
590,Shoaib Ahmed,988.4999999999998,12
591,Shoaib Akhtar,982.0999999999997,16
592,Shoaib Malik,971.1000000000004,98
593,Shubman Gill,1050.9000000000037,4864
594,Sikandar Raza,1006.700000000002,286
595,Simarjeet Singh,965.9999999999999,16
596,Sohail Tanvir,978.4000000000002,62
597,Sumit Kumar,977.3999999999995,52
598,Sunny Gupta,983.5,2
599,Sunny Singh,983.3000000000004,62
600,Swapnil Singh,980.6999999999999,92
601,T Banton,965.6999999999997,44
602,T Henderson,980.6000000000001,32
603,T Kohler-Cadmore,950.1999999999997,108
604,T Kohli,954.9999999999997,40
605,T Natarajan,1002.2999999999996,10
606,T Shamsi,995.5000000000001,8
607,T Stubbs,1102.2000000000007,478
608,T Taibu,980.3,52
609,T Thushara,972.7000000000004,38
610,TA Boult,965.6,164
611,TD Paine,935.3999999999996,58
612,TG Southee,931.4999999999997,216
613,TH David,1046.6000000000008,834
614,TK Curran,1024.6000000000026,216
615,TL Seifert,969.5999999999996,52
616,TL Suman,932.4000000000007,1174
617,TM Dilshan,923.8999999999967,2094
618,TM Head,1093.4000000000015,916
619,TM Srivastava,982.4,22
620,TR Birt,995.0999999999993,118
621,TS Mills,946.7000000000004,28
622,TU Deshpande,1017.7,30
623,Tanush Kotian,969.4999999999999,64
624,Tilak Varma,1073.3000000000002,1660
625,U Kaul,999.5,2
626,UA Birla,983.7000000000002,30
627,UBT Chand,929.1000000000021,628
628,UT Khawaja,997.0000000000001,210
629,UT Yadav,975.0999999999981,422
630,Umar Gul,1022.9999999999998,38
631,Umran Malik,1012.7,32
632,V Kohli,1072.8999999999953,12472
633,V Pratap Singh,996.9,2
634,V Sehwag,985.1999999999992,3666
635,V Shankar,983.8999999999941,1780
636,V Viyaskanth,1013.1999999999998,10
637,VG Arora,977.7,34
638,VH Zol,989.0000000000005,52
639,VR Aaron,979.9999999999989,146
640,VR Iyer,1072.4999999999964,2000
641,VRV Singh,994.9,6
642,VS Malik,995.1000000000001,14
643,VS Yeligati,999.1,4
644,VVS Laxman,910.0000000000005,542
645,VY Mahesh,966.9000000000001,56
646,Vijaykumar Vyshak,995.2000000000003,26
647,Virat Singh,962.8999999999999,52
648,Vishnu Vinod,953.8000000000003,116
649,Vivrant Sharma,1012.7000000000002,98
650,W Jaffer,928.3000000000004,258
651,WA Mota,928.3000000000005,152
652,WD Parnell,915.1999999999996,172
653,WG Jacks,1084.5000000000014,266
654,WP Saha,944.5999999999934,4736
655,WPUJC Vaas,967.5000000000002,146
656,Washington Sundar,943.4999999999986,682
657,X Thalaivan Sargunam,983.9000000000003,34
658,Y Gnaneswara Rao,995.3,36
659,Y Nagar,961.4000000000001,542
660,Y Prithvi Raj,998.3000000000001,2
661,Y Venugopal Rao,959.6000000000005,1730
662,YA Abdulla,999.5,2
663,YBK Jaiswal,1048.2000000000037,2190
664,YK Pathan,969.4000000000062,4668
665,YS Chahal,950.9999999999966,178
666,YV Dhull,960.5000000000005,46
667,YV Takawale,974.6000000000008,366
668,Yash Dayal,988.5,2
669,Yashpal Singh,935.8000000000006,134
670,Younis Khan,983.6999999999998,14
671,Yudhvir Singh,983.0000000000002,32
672,Yuvraj Singh,975.5000000000013,4414
673,Z Khan,928.0999999999976,282
