,bowler,rating,deliveries
427,SB Styris,1011.0999999999996,444
428,SB Wagh,1014.3999999999997,216
429,SC Ganguly,994.5999999999985,560
430,SC Kuggeleijn,990.8999999999997,100
431,SD Chitnis,1004.3000000000002,76
432,SE Bond,1065.8999999999992,382
433,SE Rutherford,998.6000000000006,92
434,SH Johnson,1016.7000000000007,198
435,SJ Srivastava,1012.5000000000026,612
436,SK Raina,1019.2999999999943,1860
437,SK Trivedi,1077.799999999988,3114
438,SK Warne,1093.399999999986,2446
439,SL Malinga,1046.2999999999652,5948
440,SM Boland,1022.7000000000006,86
441,SM Curran,1015.5000000000093,2468
442,SM Harwood,1042.2999999999984,134
443,SM Pollock,1101.0000000000027,560
444,SMSM Senanayake,1089.300000000001,390
445,SN Khan,998.5999999999999,4
446,SN Thakur,1018.7999999999944,3958
447,SP Narine,1127.999999999953,8292
448,SPD Smith,996.6,4
449,SR Tendulkar,972.6999999999997,74
450,SR Watson,1024.000000000002,4274
451,SS Agarwal,994.6000000000004,48
452,SS Cottrell,1057.199999999999,262
453,SS Iyer,1001.5000000000001,12
454,SS Mundhe,1010.3999999999996,14
455,SS Sarkar,987.2999999999998,50
456,SSB Magala,991.3999999999995,74
457,ST Jayasuriya,1048.4999999999955,602
458,STR Binny,1061.7999999999968,1222
459,SW Tait,1082.9999999999986,1068
460,SZ Mulani,1004.5999999999998,66
461,Sachin Baby,1039.9999999999998,20
462,Sandeep Sharma,1081.4999999999934,5850
463,Shahbaz Ahmed,985.5000000000026,1098
464,Shahid Afridi,1031.3999999999996,370
465,Shakib Al Hasan,1064.1999999999894,3030
466,Shashank Singh,1017.6000000000001,38
467,Shivam Mavi,1048.700000000002,1374
468,Shivam Sharma,990.2999999999998,228
469,Shoaib Ahmed,985.7,206
470,Shoaib Akhtar,1056.0000000000011,92
471,Shoaib Malik,1001.7999999999993,116
472,Sikandar Raza,982.6,176
473,Simarjeet Singh,1076.3999999999976,386
474,Sohail Tanvir,1130.7999999999997,530
475,Sumit Kumar,985.8000000000003,44
476,Sunny Gupta,959.8,38
477,Suyash Sharma,1011.7999999999971,528
478,Swapnil Singh,1016.0999999999988,330
479,T Henderson,1009.3000000000004,72
480,T Natarajan,1079.7999999999977,2802
481,T Shamsi,970.2999999999994,240
482,T Stubbs,1054.3000000000002,50
483,T Thushara,1080.5999999999992,288
484,TA Boult,1096.499999999977,4856
485,TG Southee,1040.4999999999984,2524
486,TK Curran,985.0000000000014,504
487,TL Suman,1001.9999999999998,304
488,TM Dilshan,940.9000000000003,550
489,TM Head,954.9000000000009,116
490,TP Sudhindra,936.2,148
491,TS Mills,987.2000000000014,436
492,TU Deshpande,1092.2999999999995,1662
493,Tejas Baroka,992.5999999999999,42
494,Tilak Varma,1000.8999999999995,46
495,UT Yadav,1045.0999999999844,6380
496,Umar Gul,1087.3999999999992,306
497,Umran Malik,1003.3999999999949,1038
498,V Kaverappa,1024.4999999999998,48
499,V Kohli,946.6000000000007,528
500,V Pratap Singh,995.3000000000021,422
501,V Sehwag,949.0999999999993,276
502,V Shankar,1061.7000000000003,516
503,V Viyaskanth,982.7,120
504,VG Arora,1069.6000000000017,836
505,VR Aaron,1009.4000000000013,2130
506,VR Iyer,957.5000000000006,168
507,VRV Singh,953.4999999999991,742
508,VS Malik,1017.6000000000001,424
509,VS Yeligati,979.5,64
510,VY Mahesh,1017.3000000000009,718
511,Vijaykumar Vyshak,1024.8000000000006,486
512,Vivrant Sharma,981.4000000000001,42
513,WA Mota,1014.7999999999995,150
514,WD Parnell,1052.400000000001,1516
515,WG Jacks,976.0999999999996,110
516,WPUJC Vaas,1085.3,576
517,Washington Sundar,1022.2999999999986,2128
518,Y Gnaneswara Rao,995.7999999999998,12
519,Y Nagar,979.9000000000011,144
520,Y Prithvi Raj,994.8999999999996,66
521,Y Venugopal Rao,963.900000000001,444
522,YA Abdulla,1007.400000000001,444
523,YBK Jaiswal,991.0,2
524,YK Pathan,1036.1999999999935,2368
525,YS Chahal,1038.3999999999771,7256
526,Yash Dayal,1050.4000000000024,1230
527,Yash Thakur,1008.2000000000031,864
528,Yudhvir Singh,1005.0000000000002,148
529,Yuvraj Singh,1031.7999999999902,1764
530,Z Khan,1094.3000000000018,4552
