Team,Score,Overs,RPO,Inns,Result,Opposition,Ground,Start Date
KKR,261/6,20,13.05,1,lost,v Punjab Kings,Eden Gardens,26-Apr-24
Punjab Kings,262/2,18.4,14.03,2,won,v KKR,Eden Gardens,26-Apr-24
DC,257/4,20,12.85,1,won,v MI,Delhi,27-Apr-24
MI,247/9,20,12.35,2,lost,v DC,Delhi,27-Apr-24
LSG,196/5,20,9.8,1,lost,v RR,Lucknow,27-Apr-24
RR,199/3,19,10.47,2,won,v LSG,Lucknow,27-Apr-24
GT,200/3,20,10,1,lost,v RCB,Ahmedabad,28-Apr-24
RCB,206/1,16,12.87,2,won,v GT,Ahmedabad,28-Apr-24
CSK,212/3,20,10.6,1,won,v SRH,Chennai,28-Apr-24
SRH,134,18.5,7.11,2,lost,v CSK,Chennai,28-Apr-24
DC,153/9,20,7.65,1,lost,v KKR,Eden Gardens,29-Apr-24
KKR,157/3,16.3,9.51,2,won,v DC,Eden Gardens,29-Apr-24
MI,144/7,20,7.2,1,lost,v LSG,Lucknow,30-Apr-24
LSG,145/6,19.2,7.5,2,won,v MI,Lucknow,30-Apr-24
CSK,162/7,20,8.1,1,lost,v Punjab Kings,Chennai,01-May-24
Punjab Kings,163/3,17.5,9.14,2,won,v CSK,Chennai,01-May-24
SRH,201/3,20,10.05,1,won,v RR,Hyderabad,02-May-24
RR,200/7,20,10,2,lost,v SRH,Hyderabad,02-May-24
KKR,169,19.5,8.52,1,won,v MI,Wankhede,03-May-24
MI,145,18.5,7.69,2,lost,v KKR,Wankhede,03-May-24
GT,147,19.3,7.53,1,lost,v RCB,Bengaluru,04-May-24
RCB,152/6,13.4,11.12,2,won,v GT,Bengaluru,04-May-24
CSK,167/9,20,8.35,1,won,v Punjab Kings,Dharamsala,05-May-24
Punjab Kings,139/9,20,6.95,2,lost,v CSK,Dharamsala,05-May-24
KKR,235/6,20,11.75,1,won,v LSG,Lucknow,05-May-24
LSG,137,16.1,8.47,2,lost,v KKR,Lucknow,05-May-24
SRH,173/8,20,8.65,1,lost,v MI,Wankhede,06-May-24
MI,174/3,17.2,10.03,2,won,v SRH,Wankhede,06-May-24
DC,221/8,20,11.05,1,won,v RR,Delhi,07-May-24
RR,201/8,20,10.05,2,lost,v DC,Delhi,07-May-24
LSG,165/4,20,8.25,1,lost,v SRH,Hyderabad,08-May-24
SRH,167/0,9.4,17.27,2,won,v LSG,Hyderabad,08-May-24
RCB,241/7,20,12.05,1,won,v Punjab Kings,Dharamsala,09-May-24
Punjab Kings,181,17,10.64,2,lost,v RCB,Dharamsala,09-May-24
